Site,logDD,DistanceLC,NewDBH,NewBA,SnowDepth,LCProp,Ecoregion,AspenProp,HdwdProp,CountStands
2,1.72,0.158,19.9,19.3,238,0.09,1,0,0.77,5
3,1.01,0.301,26.8,13.8,223,0,1,0,1,1
4,0.98,0.24,29.5,19,163,0,1,0,1,1
5,1.24,0.25,28.5,14,176,0,1,0,1,1
6,1.08,0.121,25.6,18.1,152,0.08,1,0,0.92,5
7,1.81,0.38,15.6,16.3,179,0,1,0,1,1
8,1.36,0.219,13.8,17,201,0.17,1,0,0.83,3
9,1.39,0.132,16.2,19.3,277,0,1,0.39,0.61,4
10,1.57,0.175,21.7,17.4,280,0,1,0.3,0.51,3
11,1.7,0.161,20.9,16.7,223,0.05,1,0.2,0.74,4
19,1.35,0.233,28.1,17.4,198,0,3,0,1,3
21,1.02,0.353,18.5,22.8,258,0,3,0.02,0.98,2
29,0.6,0.851,28.2,28.4,334,0,4,0,1,2
30,0.7,0.93,24.6,21.8,348,0,1,0.3,0.7,2
34,1.19,0.529,22.8,18.2,311,0,4,0,0.99,3
38,1.18,0.231,21,17.1,315,0,4,0,1,1
803,1.09,0.163,25.8,20,233,0.01,1,0.01,0.98,6
806,1.04,0.194,26.9,19.8,204,0,1,0,1,2
814,0.89,0.35,34.5,20.6,192,0,3,0,1,2
817,0.95,0.228,20.9,19.6,213,0,3,0,0.86,3
818,1.54,0.158,30.3,19.6,231,0,1,0.07,0.85,3
819,1.43,0.03,21.6,22.8,212,0.42,1,0,0.58,5
831,0.86,0.17,25.9,21.6,291,0.02,1,0.18,0.81,3
832,1.29,0.206,14.4,23.5,224,0,1,0.19,0.66,8
835,1.3,0.071,21.6,22.5,272,0.29,1,0,0.71,4
837,1.33,0.233,32.7,20.9,352,0,4,0.07,0.93,3
838,1.4,0.326,25.9,26.2,245,0,4,0.05,0.95,2
843,1.14,0.177,23.5,29.2,321,0,2,0,1,2
852,0.65,0.361,21,28.4,226,0,1,0,0.96,3
1042,1.79,0.01,23.4,23.4,319,0.46,3,0,0.54,4
1081,0.9,0.379,25.9,28.5,304,0,4,0.07,0.93,2
1122,0.94,0.222,27.4,24.9,223,0.01,1,0,0.7,6
1603,0.62,0.645,24.8,20.8,372,0,4,0,0.98,5
1606,1.37,0.564,25.9,26.2,250,0,4,0.33,0.63,6
4052,0.57,0.184,21.7,23.2,205,0,1,0,1,1
4082,1.46,0.139,25.9,23.9,206,0.05,3,0.46,0.49,3
4102,1.7,0.301,17.1,25.5,205,0,1,0.2,0.75,4
4122,1.54,0.16,22.2,15.9,217,0.04,1,0.03,0.93,4
4162,1.66,0.282,27.7,20.8,238,0,3,0,1,2
4172,1.17,0.374,31,21.6,169,0,3,0.17,0.83,3
4232,0.58,0.248,31.7,20.8,295,0,1,0.35,0.38,5
4244,1.44,0.34,24.9,24.6,310,0,2,0.48,0.41,9
4272,0.33,0.373,23.1,25.7,319,0,1,0.28,0.71,3
4342,0.87,0.339,26.2,22.1,294,0,4,0.22,0.78,4
4429,1.14,0.122,17.7,20.4,229,0.15,1,0,0.85,2
4504,0.67,0.163,23.4,21.6,303,0.04,2,0.42,0.32,9
5036,1.07,0.447,26.3,18,156,0,3,0.09,0.91,3
5052,0.94,0.65,31,21.6,169,0,3,0.13,0.87,2
5104,1.3,0.358,26.2,21.5,303,0,2,0.09,0.5,6
5191,0.58,0.122,32.5,18.1,268,0.05,1,0.72,0.19,9
5342,1.19,0.202,17.8,25.7,223,0,1,0.48,0.32,6
